ShearRate,Stress,Viscosity
0.1,0.00295,0.0295
0.2,0.00641,0.03205
0.35,0.009847,0.028134286
0.7,0.01547,0.0221
1,0.0203,0.0203
2,0.0311,0.01555
3.5,0.0447,0.012771429
7,0.072,0.010285714
10,0.0918,0.00918
20,0.149,0.00745
35,0.223,0.006371429
70,0.384,0.005485714
100,0.512,0.00512
200,0.944,0.00472
350,1.544,0.004411429
700,2.93,0.004185714
