,0,1,2,3,4
0,-0.03242605103775447,-0.04524789000029853,-0.0827592816792684,-0.04524789000029853,-0.03242605103775447
1,-0.0351225887572195,-0.049621884494508266,-0.09198556477445904,-0.049621884494508266,-0.0351225887572195
2,-0.03780706606366825,-0.05397631605816812,-0.1011705828118944,-0.05397631605816812,-0.03780706606366825
3,-0.04046747648494391,-0.05829170925700923,-0.11027325529405581,-0.05829170925700923,-0.04046747648494391
4,-0.04309192118935508,-0.06254876325799306,-0.11925287001844219,-0.06254876325799306,-0.04309192118935508
5,-0.04566866220385393,-0.0667284381533468,-0.12806926516513112,-0.0667284381533468,-0.04566866220385393
6,-0.04818617491276513,-0.07081204011759643,-0.13668300892272378,-0.07081204011759643,-0.04818617491276513
7,-0.05063319960226233,-0.07478130501672771,-0.14505557584928663,-0.07478130501672771,-0.05063319960226233
8,-0.05299879182005646,-0.07861848009552828,-0.15314951917950584,-0.07861848009552828,-0.05299879182005646
9,-0.05527237132505955,-0.0823064033777602,-0.16092863830740128,-0.0823064033777602,-0.05527237132505955
10,-0.057443769408094016,-0.0858285804240411,-0.1683581406955247,-0.0858285804240411,-0.057443769408094016
11,-0.05950327437200276,-0.08916925810412993,-0.17540479748649376,-0.08916925810412993,-0.05950327437200276
12,-0.06144167496774799,-0.09231349505366705,-0.18203709212088137,-0.09231349505366705,-0.06144167496774799
13,-0.0632503015922283,-0.09524722850024665,-0.18822536129675813,-0.09524722850024665,-0.0632503015922283
14,-0.06492106506355466,-0.09795733715993862,-0.19394192764043922,-0.09795733715993862,-0.06492106506355466
15,-0.06644649280036048,-0.10043169992295134,-0.19916122349505783,-0.10043169992295134,-0.06644649280036048
16,-0.06781976224333221,-0.10265925006596083,-0.2038599052733144,-0.10265925006596083,-0.06781976224333221
17,-0.06903473136948038,-0.10463002474863844,-0.20801695786295268,-0.10463002474863844,-0.06903473136948038
18,-0.07008596616267475,-0.10633520957300135,-0.21161378861800317,-0.10633520957300135,-0.07008596616267475
19,-0.07096876491757982,-0.10776717800629144,-0.21463431051541312,-0.10776717800629144,-0.07096876491757982
20,-0.07167917926829012,-0.108919525491062,-0.21706501410514065,-0.108919525491062,-0.07167917926829012
21,-0.07221403184761348,-0.10978709808991233,-0.21889502793191148,-0.10978709808991233,-0.07221403184761348
22,-0.07257093049802027,-0.11036601553675594,-0.22011616715839996,-0.11036601553675594,-0.07257093049802027
23,-0.07274827897069937,-0.11065368859152366,-0.22072297017236325,-0.11065368859152366,-0.07274827897069937
24,-0.07274528406486863,-0.1106488306206821,-0.22071272301400222,-0.1106488306206821,-0.07274528406486863
25,-0.07256195917540878,-0.11035146335177252,-0.22008547151429517,-0.11035146335177252,-0.07256195917540878
26,-0.07219912423295423,-0.10976291677623344,-0.21884402109001666,-0.10976291677623344,-0.07219912423295423
27,-0.07165840203670829,-0.10888582320094091,-0.21699392419635702,-0.10888582320094091,-0.07165840203670829
28,-0.07094221099638451,-0.10772410547507129,-0.21454345549326123,-0.10772410547507129,-0.07094221099638451
29,-0.07005375431573656,-0.10628295944494309,-0.2115035748365584,-0.10628295944494309,-0.07005375431573656
30,-0.06899700566605349,-0.10456883071530887,-0.20788787825940436,-0.10456883071530887,-0.06899700566605349
31,-0.0677766914136967,-0.10258938582103413,-0.20371253716327706,-0.10258938582103413,-0.0677766914136967
32,-0.0663982694811669,-0.10035347793809919,-0.19899622599049555,-0.10035347793809919,-0.0663982694811669
33,-0.06486790493624603,-0.09787110728728343,-0.1937600387017512,-0.09787110728728343,-0.06486790493624603
34,-0.06319244241839303,-0.0951533764076287,-0.18802739443221003,-0.0951533764076287,-0.06319244241839303
35,-0.06137937552571805,-0.09221244049972395,-0.18182393274814518,-0.09221244049972395,-0.06137937552571805
36,-0.05943681329945348,-0.08906145306090306,-0.17517739897256854,-0.08906145306090306,-0.05943681329945348
37,-0.05737344395582174,-0.08571450705550583,-0.16811752009275038,-0.08571450705550583,-0.05737344395582174
38,-0.0551984960275111,-0.08218657188332106,-0.16067587180463616,-0.08218657188332106,-0.0551984960275111
39,-0.052921697088556596,-0.07849342642812404,-0.15288573728881288,-0.07849342642812404,-0.052921697088556596
40,-0.05055323024723094,-0.07465158848575251,-0.1447819583496561,-0.07465158848575251,-0.05055323024723094
41,-0.048103688601533676,-0.07067824088735773,-0.13640077958344704,-0.07067824088735773,-0.048103688601533676
42,-0.04558402786097868,-0.0665911546482487,-0.1277796862724252,-0.0665911546482487,-0.04558402786097868
43,-0.04300551734658181,-0.06240860948605033,-0.11895723672980542,-0.06240860948605033,-0.04300551734658181
44,-0.04037968958820381,-0.05814931206366268,-0.10997288984560472,-0.05814931206366268,-0.04037968958820381
45,-0.03771828874467733,-0.05383231232268392,-0.10086682860459008,-0.05383231232268392,-0.03771828874467733
